[H[2J
  Your application is ready~! 🚀

  - Local:      http://0.0.0.0:3001
  - Network:    http://172.17.0.2:3001

 LOGS 

  [06:57:52] 200 ─ 2.85ms ─ /
  [06:58:08] 200 ─ 0.42ms ─ /assets/use-settings-CSlhfPqo.js
  [06:58:08] 200 ─ 0.49ms ─ /assets/branch-error-state-BSd8PBsv.js
  [06:58:08] 200 ─ 1.23ms ─ /assets/settings-dropdown-input-Did5iUTK.js
  [06:58:08] 200 ─ 1.34ms ─ /assets/useQuery-Cu2nkJ8V.js
  [06:58:08] 200 ─ 1.45ms ─ /assets/use-config-jdwF3W4-.js
  [06:58:08] 200 ─ 1.53ms ─ /assets/use-user-providers-CVWOd-tS.js
  [06:58:08] 200 ─ 1.72ms ─ /assets/index-Do49u1Ze.js
  [06:58:08] 200 ─ 2.40ms ─ /assets/chunk-S6H5EOGR-Bwn62IP6.js
  [06:58:08] 200 ─ 0.24ms ─ /assets/index-DvLMSsrd.js
  [06:58:08] 200 ─ 0.64ms ─ /assets/utils-KsbccAr1.js
  [06:58:08] 200 ─ 0.79ms ─ /assets/use-optimistic-user-message-tdysaQ5t.js
  [06:58:08] 200 ─ 0.97ms ─ /assets/tooltip-button-Bd3YrFXr.js
  [06:58:08] 200 ─ 1.07ms ─ /assets/optional-tag-e1gRgM9y.js
  [06:58:08] 200 ─ 1.24ms ─ /assets/iconBase-2PDVWRGH.js
  [06:58:08] 200 ─ 0.92ms ─ /assets/chunk-BOOVDPB6-Dt9AQnxs.js
  [06:58:08] 200 ─ 1.07ms ─ /assets/loading-spinner-D6qcLhqr.js
  [06:58:08] 200 ─ 1.14ms ─ /assets/all-hands-logo-D_ipIZjH.js
  [06:58:08] 200 ─ 1.25ms ─ /assets/plus-VpD79E1k.js
  [06:58:08] 200 ─ 1.49ms ─ /assets/settings-BJuJgO6o.js
  [06:58:08] 200 ─ 1.81ms ─ /assets/conversation-card-BnTfWkKs.js
  [06:58:08] 200 ─ 0.28ms ─ /assets/help-link-CHYsvCwj.js
  [06:58:08] 200 ─ 0.43ms ─ /assets/modal-backdrop-ve4Sk5I2.js
  [06:58:08] 200 ─ 0.54ms ─ /assets/key-status-icon-DbpY1ViG.js
  [06:58:08] 200 ─ 1.34ms ─ /assets/settings-utils-C--CGkWg.js
  [06:58:08] 200 ─ 1.44ms ─ /assets/settings-input-i4i_IemM.js
  [06:58:08] 200 ─ 1.68ms ─ /assets/use-save-settings-Bb4p0cGE.js
  [06:58:08] 200 ─ 0.61ms ─ /assets/constants-DCYeMzG2.js
  [06:58:08] 200 ─ 0.70ms ─ /assets/use-logout-Bpg8Vogf.js
  [06:58:08] 200 ─ 0.81ms ─ /assets/handle-capture-consent-L0_Qc6gK.js
  [06:58:08] 200 ─ 0.88ms ─ /assets/use-balance-Cbz3Ny8k.js
  [06:58:08] 200 ─ 0.95ms ─ /assets/Trans-CI4prNur.js
  [06:58:08] 200 ─ 1.05ms ─ /assets/use-conversation-id-0JHAicdF.js
  [06:58:08] 200 ─ 0.46ms ─ /assets/vscode-url-helper-5Tt6LlE2.js
  [06:58:08] 200 ─ 0.57ms ─ /assets/use-active-conversation-B8Aw3kE2.js
  [06:58:08] 200 ─ 0.66ms ─ /assets/map-provider-g8SgAMsv.js
  [06:58:08] 200 ─ 1.14ms ─ /assets/ws-client-provider-Dmsj8lkD.js
  [06:58:08] 200 ─ 0.74ms ─ /assets/index-D_FgxOY2.js
  [06:58:08] 200 ─ 1.38ms ─ /assets/features-animation-CM7oex5Y.js
  [06:58:13] 200 ─ 0.82ms ─ /content-enrichment
  [06:58:13] 404 ─ 0.10ms ─ /locales/en-US@posix/translation.json
  [06:58:13] 200 ─ 0.82ms ─ /assets/content-enrichment-CBgxaTYR.js
